chrom	start	end	zhr1_zhr	zhr2_zhr	zhr3_zhr	z301_z30	z302_z30	z303_z30	zhrz301_z30	zhrz301_zhr	zhrz302_z30	zhrz302_zhr	zhrz303_z30	zhrz303_zhr
chr2R	12786672	12787180	12	40	40	24	37	19	33	38	26	31	8	16
chr2R	12942662	12943289	131	370	415	110	162	114	110	200	123	233	78	110
chr2R	12984813	12986547	94	301	338	175	247	165	211	187	207	186	105	88
chr2R	12989580	12989913	5	23	25	15	19	7	13	13	15	9	6	8
chr2R	13022934	13023678	83	270	275	133	180	136	181	142	204	172	58	66
chr2R	13041606	13042582	32	135	134	99	164	90	139	80	110	96	60	34
chr2R	13438617	13438987	27	105	103	50	84	46	53	62	61	45	38	34
chr2R	13450077	13450563	48	193	169	62	108	61	97	98	100	125	54	59
chr2R	13539777	13540120	79	238	249	94	115	71	109	136	89	144	43	60
chr2R	13561563	13561920	25	74	94	41	67	40	48	54	43	69	44	30
chr2R	13562864	13563408	71	205	222	45	83	50	53	114	62	112	37	72
chr2R	13564467	13564836	9	59	71	19	38	24	30	35	27	36	21	18
chr2R	13568936	13569306	31	103	87	38	59	45	56	69	60	66	17	43
chr2R	13587218	13587799	102	336	353	179	237	169	156	194	217	217	87	88
chr2R	13615559	13615967	8	52	38	15	29	18	17	27	24	24	6	16
chr2R	13749685	13750596	22	79	94	73	109	77	65	55	66	57	38	22
chr2R	13752333	13752642	12	59	56	44	47	29	44	40	44	51	16	22
chr2R	13753272	13753996	23	105	100	66	99	77	79	87	72	78	37	33
chr2R	13897704	13898044	35	85	106	53	111	60	83	81	68	54	39	31
chr2R	13924172	13925808	191	605	661	267	416	269	346	350	327	407	166	163
chr2R	13929181	13929552	22	101	101	12	17	14	13	45	16	53	9	28
chr2R	13955480	13955885	31	83	82	43	70	45	60	42	65	54	26	23
chr2R	13963838	13964347	19	57	76	34	58	34	40	41	57	43	15	16
chr2R	13965033	13965682	9	50	59	17	26	19	33	22	26	27	11	11
chr2R	13991856	13992970	36	165	157	76	117	70	89	99	91	86	27	43
chr2R	13993825	13994316	15	35	38	28	40	24	27	27	26	12	6	6
chr2R	14000921	14002153	63	195	235	135	186	106	157	120	155	124	89	75
chr2R	14008024	14008681	11	44	55	13	23	14	17	32	18	25	11	14
chr2R	14074271	14075932	175	541	591	364	570	351	407	313	379	324	177	136
chr2R	14110667	14110985	17	46	51	41	55	35	40	30	55	35	21	9
chr2R	14140252	14141755	175	675	662	262	385	270	320	363	334	393	130	172
chr2R	14221630	14222163	24	55	54	26	34	28	45	26	26	38	23	17
chr2R	14302674	14303031	31	110	115	56	92	54	83	69	81	68	40	37
chr2R	14334032	14334628	21	81	83	78	112	53	78	50	67	56	35	31
chr2R	14338437	14338732	14	21	29	8	28	19	16	17	17	18	9	6
chr2R	14420058	14420285	9	29	38	34	47	38	48	18	34	13	19	7
chr2R	14425615	14426450	31	139	121	70	105	68	73	77	80	73	46	36
chr2R	14429213	14429776	6	17	23	7	7	9	10	8	5	12	3	6
chr2R	14484586	14486087	118	447	472	235	357	252	274	294	338	260	123	130
chr2R	14490180	14490651	6	33	36	14	18	21	25	23	18	20	5	6
chr2R	14574161	14574581	15	23	39	22	42	26	25	18	33	28	9	15
chr2R	14604569	14605110	18	72	68	41	59	31	41	35	49	42	33	31
chr2R	14783125	14783468	17	70	57	25	27	20	16	30	17	28	7	15
chr2R	14807213	14808062	18	73	104	97	153	87	94	48	103	54	65	24
chr2R	14914368	14914762	24	57	58	13	26	16	15	46	20	37	11	9
chr2R	14917643	14917877	2	20	22	4	5	3	2	10	8	18	1	7
chr2R	14962046	14963390	208	770	807	238	386	226	264	444	303	421	151	193
chr2R	14964449	14965504	77	325	347	177	300	187	206	184	229	192	105	75
chr2R	14966165	14968441	82	307	320	86	119	101	122	179	115	195	70	80
chr2R	14975500	14976233	79	275	303	147	234	139	159	151	178	146	84	81
chr2R	14981795	14982871	26	78	78	52	61	41	54	37	67	51	28	16
chr2R	14986108	14987590	234	801	918	482	655	404	614	592	635	599	262	275
chr2R	15011200	15011454	72	262	283	134	147	124	128	140	141	156	57	60
chr2R	15014945	15015331	22	56	78	37	69	34	28	44	53	41	32	27
chr2R	15030560	15030810	5	24	31	27	49	24	30	8	32	12	8	6
chr2R	15033119	15034790	67	235	253	147	219	142	194	130	194	120	86	60
chr2R	15044062	15044465	42	193	202	32	45	25	31	89	36	91	22	47
chr2R	15053647	15054948	84	294	346	252	306	206	231	167	215	171	121	75
chr2R	15063994	15064404	12	32	52	32	32	21	19	26	21	17	15	14
chr2R	15109445	15109737	6	36	48	26	31	20	25	14	22	18	12	13
chr2R	15117533	15119299	99	403	452	339	499	294	374	246	375	231	183	113
chr2R	15127817	15129477	162	554	584	159	267	180	221	316	201	320	95	155
chr2R	15135034	15135679	47	173	177	67	92	71	80	99	79	87	34	46
chr2R	15252349	15252649	14	64	59	41	47	38	39	31	35	32	14	11
chr2R	15481042	15481768	12	44	46	44	82	52	46	30	49	21	32	15
chr2R	15508687	15509083	11	30	21	10	24	14	19	13	18	21	11	7
chr2R	15510326	15511433	53	221	208	237	329	175	233	132	260	138	118	69
chr2R	15513201	15514242	31	84	126	55	72	48	55	46	54	55	33	28
chr2R	15698516	15699383	45	123	159	55	76	47	70	59	56	74	36	30
chr2R	15735195	15735560	73	241	253	98	154	104	136	129	135	141	60	48
chr2R	15738225	15739192	40	134	139	76	100	66	62	72	88	75	50	47
chr2R	15817056	15819059	127	364	419	143	193	125	138	234	168	273	77	130
chr2R	15823776	15824014	10	22	24	14	19	16	15	16	9	17	7	6
chr2R	15886450	15886888	57	223	252	122	155	115	136	98	123	117	50	46
chr2R	15922029	15922481	22	90	99	40	56	48	44	38	49	36	26	26
chr2R	15929962	15930155	15	53	54	16	45	26	27	27	31	23	14	18
chr2R	16000250	16000842	21	86	62	28	50	40	36	32	42	47	26	11
chr2R	16017210	16017888	19	67	71	42	41	36	43	35	39	37	15	16
chr2R	16155818	16156656	37	167	174	44	62	54	64	105	55	89	28	46
chr2R	16218057	16218891	42	146	130	66	108	59	85	85	65	82	29	48
chr2R	16220815	16221943	95	346	354	166	262	131	159	202	171	198	103	83
chr2R	16310437	16310719	46	177	179	95	141	67	98	93	106	96	29	41
chr2R	16378937	16379333	15	31	42	31	47	37	31	24	38	17	13	19
chr2R	16386228	16387323	74	276	268	131	193	94	139	164	139	169	66	81
chr2R	16516061	16516446	42	139	166	35	35	37	32	96	22	90	13	38
chr2R	16576155	16576668	29	125	127	68	76	74	90	80	75	79	42	42
chr2R	16597042	16597765	18	85	94	59	69	41	78	44	52	51	25	21
chr2R	16662006	16662421	8	27	25	22	19	6	14	20	15	14	8	11
chr2R	16715890	16717245	102	416	423	150	253	152	213	252	189	266	109	106
chr2R	16717609	16717829	6	19	25	12	35	12	17	19	20	14	8	6
chr2R	16719627	16720108	29	88	111	60	100	53	69	63	70	55	28	33
chr2R	16724691	16725725	85	271	310	255	334	180	216	181	252	201	92	100
chr2R	17255656	17255902	11	57	65	48	69	45	27	33	53	46	22	31
chr2R	17261478	17263289	405	1461	1559	598	878	540	707	931	747	909	302	376
chr2R	17634326	17634897	11	39	56	21	43	16	34	30	22	20	9	12
chr2R	17635052	17635547	7	50	53	31	50	23	20	40	36	28	15	25
chr2R	17761046	17761662	81	238	273	102	148	88	89	101	110	120	68	74
chr2R	17806251	17806577	8	38	54	17	31	13	20	29	21	19	9	9
chr2R	17806824	17807523	18	78	78	38	45	48	42	40	46	41	23	17
chr2R	17819364	17820090	48	193	191	75	115	68	89	113	76	120	50	50
chr2R	17881101	17881284	8	31	33	31	53	32	27	25	31	27	23	10
chr2R	17985123	17985544	7	14	28	23	42	30	23	7	18	13	9	5
chr2R	18067500	18067977	31	78	69	62	90	47	43	56	46	47	34	25
chr2R	18151408	18151703	42	96	123	51	62	46	63	39	54	59	38	30
chr2R	18242041	18242435	29	110	109	64	101	57	81	69	87	59	28	22
chr2R	18256283	18256991	88	274	314	108	180	116	130	145	141	172	72	79
chr2R	18268721	18270247	84	309	350	158	209	127	192	152	170	194	86	92
chr2R	18413968	18414405	12	51	55	30	40	24	24	26	23	19	14	11
chr2R	18503259	18504197	17	58	65	20	46	34	34	31	43	33	10	16
chr2R	18530404	18530959	46	172	173	116	134	99	112	90	114	88	75	56
chr2R	18604355	18604612	20	40	51	27	43	35	22	23	34	30	26	20
chr2R	18644434	18645255	59	263	291	179	264	168	211	151	219	168	98	73
chr2R	18799304	18799594	51	141	138	75	123	78	79	78	101	69	41	40
chr2R	18806129	18806756	66	202	227	100	158	104	164	143	136	127	63	68
chr2R	18834965	18835638	16	63	80	141	179	132	119	52	104	41	58	22
chr2R	18877551	18878682	70	228	245	121	166	109	143	128	147	143	73	53
chr2R	18878867	18879835	39	154	152	66	99	67	95	75	89	92	40	60
chr2R	18889108	18889354	17	65	67	14	27	17	19	32	28	39	6	16
chr2R	19080846	19081105	15	45	41	32	44	31	34	30	37	28	15	12
chr2R	19141520	19143605	121	371	389	201	289	192	246	234	220	223	133	102
chr2R	19228791	19229132	16	57	54	35	37	18	23	32	23	30	14	15
chr2R	19232219	19232420	16	43	53	18	35	15	25	32	37	33	8	16
chr2R	19424952	19425601	27	77	99	45	76	34	42	55	55	59	29	21
chr2R	19431237	19431554	35	119	89	53	100	56	51	49	57	75	40	28
chr2R	19578440	19579343	271	989	1083	626	733	529	689	678	736	731	291	297
chr2R	19616425	19617048	12	45	53	25	37	13	12	25	21	23	5	7
chr2R	19617472	19617835	32	142	163	102	110	67	87	85	77	94	44	42
chr2R	19646855	19648252	92	306	365	195	246	162	194	175	206	201	113	95
chr2R	19663343	19663624	13	63	57	37	61	29	39	38	36	22	25	11
chr2R	19704696	19705038	7	38	37	31	41	24	25	18	16	26	9	15
chr2R	19835809	19836179	14	55	60	29	57	33	35	23	43	32	12	15
chr2R	19903472	19903998	12	62	64	29	39	24	26	33	45	32	24	10
chr2R	19968278	19968823	36	98	95	49	89	52	69	56	75	72	33	37
chr2R	19981482	19982134	33	161	156	69	129	75	75	75	79	85	34	46
chr2R	19998617	19998919	8	29	41	10	19	17	13	19	8	10	6	8
chr2R	20041154	20041366	18	58	68	33	46	35	30	37	36	46	21	23
chr2R	20060262	20060679	43	102	103	77	110	58	82	69	69	61	39	38
chr2R	20078870	20079229	22	68	72	40	66	47	49	39	40	40	29	19
chr2R	20141188	20141453	15	30	28	29	60	35	28	19	35	21	17	14
chr2R	20306202	20306746	53	151	139	52	109	71	77	76	76	86	59	42
chr2R	20603727	20603911	6	8	24	9	7	4	7	13	5	6	2	7
chr2R	20631958	20632447	36	124	138	44	63	55	63	63	59	72	23	33
chr2R	20632809	20633432	45	125	113	50	81	55	57	59	68	64	38	36
chr2R	20851158	20851402	15	49	52	22	47	40	48	33	39	37	31	19
chr2R	20913831	20914710	136	415	441	200	279	189	263	283	242	297	117	130
chr2R	20916244	20916758	39	127	137	52	93	52	55	79	73	75	22	33
chr2R	20921890	20922148	11	44	50	26	46	29	30	17	21	33	20	16
chr2R	20961435	20961758	37	126	104	90	120	87	74	65	71	81	39	38
chr2R	20974421	20974767	31	57	60	58	65	37	42	39	48	47	24	26
chr2R	20996243	20996576	11	34	28	14	22	10	20	23	15	16	11	13
chr2R	21036769	21036963	19	43	52	49	64	44	36	30	47	25	23	12
chr2R	21038503	21038775	13	69	77	37	54	34	34	36	29	39	25	23
chr2R	21047539	21048484	167	623	606	237	342	227	282	363	287	351	134	151
chr2R	21057189	21057787	56	246	287	121	193	118	137	130	141	153	76	81
chr2R	21068131	21068598	77	180	172	72	130	73	116	103	99	102	47	88
chr2R	21075271	21076561	108	400	425	289	365	251	313	242	337	248	126	109
chr2R	21140166	21140904	61	194	217	159	202	121	164	114	164	92	54	52
chr2R	21141770	21142324	66	199	207	93	130	89	119	121	122	126	51	52
chr2R	21146209	21146426	24	63	80	31	58	33	35	48	37	39	25	30
chr2R	21362388	21363062	26	125	119	69	100	65	58	57	77	72	37	31
chr2R	21523424	21525228	110	418	430	167	293	170	247	273	267	242	85	102
chr2R	21541008	21543268	305	996	1031	584	818	556	671	639	709	680	283	239
chr2R	21546002	21547404	81	247	268	189	259	152	208	140	197	136	92	55
chr2R	21549908	21550763	22	65	77	35	62	30	41	34	46	39	22	17
chr2R	21579672	21580146	51	156	167	57	99	75	84	90	83	90	37	45
chr2R	21805670	21806514	26	69	77	61	83	53	36	35	51	47	21	21
chr2R	21866470	21866679	5	13	25	10	21	7	8	11	11	17	6	9
chr2R	21871651	21872075	116	387	378	167	264	169	196	204	237	222	84	94
chr2R	22049323	22049555	10	33	25	22	48	40	32	8	31	20	18	6
chr2R	22150518	22151055	24	89	89	24	57	31	35	72	45	44	22	18
chr2R	22151813	22152006	17	39	45	30	51	25	37	23	36	25	7	10
chr2R	22155644	22155846	15	28	35	13	30	19	20	14	16	20	9	6
chr2R	22241665	22242517	8	43	36	13	26	16	25	12	26	22	13	8
chr2R	22307030	22308321	36	134	137	50	79	46	65	66	52	67	23	29
chr2R	22308704	22308928	12	34	40	15	24	20	30	18	15	18	14	18
chr2R	22316229	22319594	236	832	901	431	670	381	549	484	563	481	231	240
chr2R	22321633	22322196	31	97	97	46	64	35	41	44	52	43	34	15
chr2R	22383088	22383838	25	79	79	34	59	28	35	55	40	53	31	19
chr2R	22426735	22427071	8	33	29	20	32	20	23	21	18	15	6	7
chr2R	22539229	22539498	10	60	75	59	74	46	65	63	59	48	21	24
chr2R	22545903	22546279	46	155	161	66	93	61	89	94	73	89	35	39
chr2R	22570822	22571083	12	32	50	22	29	25	23	18	21	20	21	10
chr2R	22644023	22645069	23	65	74	26	40	28	32	30	22	40	16	23
chr2R	22648219	22648540	68	171	189	24	43	33	30	99	38	87	15	44
chr2R	22653793	22654122	18	108	88	38	77	50	55	37	43	64	32	40
chr2R	22689392	22691201	187	700	760	267	367	224	303	382	299	374	120	155
chr2R	22728722	22730157	201	599	667	280	441	260	333	389	339	405	177	179
chr2R	22901392	22901846	51	197	196	78	133	83	84	104	86	116	41	66
chr2R	22933719	22934537	32	117	114	63	94	64	71	66	80	67	30	24
chr2R	23041406	23041744	22	36	46	30	36	21	30	19	18	36	21	21
chr2R	23203436	23204811	125	367	419	246	383	238	318	225	320	221	168	135
chr2R	23239996	23241017	121	415	424	119	183	112	146	239	120	251	77	125
chr2R	23425867	23426597	62	345	367	180	254	171	179	177	191	190	71	67
chr2R	23479909	23480481	37	101	104	75	97	61	62	65	51	52	45	48
chr2R	23546717	23547201	25	78	91	58	93	50	73	54	63	43	47	35
chr2R	23632053	23632828	30	104	99	42	42	35	35	52	43	56	21	24
chr2R	23721912	23722842	154	487	514	204	336	191	235	292	268	272	115	133
chr2R	23817821	23818358	45	195	230	54	64	53	67	134	55	120	21	68
chr2R	23840054	23840463	77	227	265	34	53	30	36	150	36	140	26	83
chr2R	24016765	24017328	37	78	93	46	91	32	45	46	50	33	23	23
chr2R	24063425	24064090	16	53	65	30	49	38	30	28	32	29	21	16
chr2R	24185983	24187013	33	110	120	36	47	38	42	49	45	64	32	25
chr2R	24305629	24306696	31	111	112	62	96	73	70	62	73	63	32	27
chr2R	24306935	24307879	80	258	253	154	212	124	159	137	165	160	81	88
chr2R	24313708	24314286	39	114	84	86	119	65	85	66	89	62	43	33
chr2R	24369198	24370554	226	699	704	401	567	377	460	439	477	445	199	206
chr2R	24540623	24541452	25	87	91	36	66	43	43	43	52	47	24	15
chr2R	24547839	24548155	7	21	29	13	31	12	20	19	10	15	15	8
chr2R	24580139	24581576	87	248	263	95	143	75	131	165	138	128	52	68
chr2R	24582027	24583154	112	343	331	140	230	140	170	194	171	195	84	94
chr2R	24684074	24684579	8	24	26	24	39	22	28	20	33	21	12	16
chr2R	24685042	24685547	4	12	7	71	107	67	75	6	86	7	32	3
chr2R	24760134	24760716	30	115	113	39	56	41	57	55	50	64	29	22
chr2R	24780313	24780843	7	49	34	31	29	12	21	40	19	24	10	14
chr2R	24787422	24787905	24	84	91	41	83	45	42	55	64	60	26	20
chr2R	24791204	24791670	16	56	45	12	25	21	31	24	18	20	15	11
chr2R	24793598	24794029	26	127	115	67	92	74	77	58	95	61	30	30
chr2R	24927641	24928610	19	69	76	25	45	26	41	32	36	29	22	29
chr2R	24943113	24943487	18	37	54	20	18	21	22	14	24	19	9	8
chr2R	24983348	24984196	12	63	54	21	39	20	32	38	39	44	13	15
chr2R	24984723	24985248	5	20	28	8	20	12	22	15	10	11	6	7
chr2R	25007649	25008184	31	95	104	125	137	93	130	60	150	58	50	27
chr2R	25009147	25009604	15	44	43	23	25	17	21	25	35	31	6	11
chr2R	25013092	25013657	14	45	71	29	44	25	29	24	27	30	17	18
chr2R	25024555	25025013	8	31	39	23	30	18	20	17	15	19	9	4
chr2R	25052262	25052730	38	84	83	55	55	41	53	47	46	48	23	25
chr2R	25109469	25109908	37	122	118	96	141	101	135	62	141	60	63	35
chr2R	25249027	25249521	17	76	83	61	87	54	58	44	52	35	33	24
chr3L	140804	141170	7	56	72	31	42	20	21	29	42	34	15	10
chr3L	270284	271846	31	104	117	57	78	39	56	51	54	55	24	25
chr3L	284121	284427	20	88	69	42	63	33	42	42	50	42	32	31
chr3L	296633	297387	37	101	128	64	105	64	82	66	72	74	28	37
chr3L	377751	378197	102	335	347	166	220	157	214	207	209	192	90	80
chr3L	387508	387986	37	107	119	29	54	40	44	65	41	64	26	33
chr3L	437531	438087	42	151	155	39	78	38	51	92	45	80	34	55
chr3L	488085	488504	69	240	256	107	135	93	111	148	133	194	44	67
chr3L	506582	506977	21	81	68	17	16	12	24	48	11	48	5	20
chr3L	545611	546877	69	221	261	137	168	110	132	122	127	119	69	66
chr3L	550490	551122	39	145	149	75	102	69	60	77	68	87	26	40
chr3L	608251	609429	125	420	402	155	220	137	168	257	193	215	83	111
chr3L	616401	616870	33	110	122	54	47	43	55	68	45	76	19	27
chr3L	622703	623168	38	121	130	57	67	50	62	68	67	60	17	27
chr3L	895197	895516	19	62	56	17	55	25	38	36	28	37	20	12
chr3L	899394	899686	23	69	79	25	37	27	34	51	37	45	15	22
chr3L	1256046	1256898	145	518	514	249	404	244	291	323	385	308	125	148
chr3L	1265327	1266048	33	136	129	90	131	79	115	61	109	71	52	32
chr3L	1268066	1268307	13	55	61	10	14	11	5	29	3	33	3	17
chr3L	1312782	1313234	38	144	139	104	174	127	120	87	157	76	71	55
chr3L	1364132	1364959	102	373	406	145	208	131	187	276	178	277	83	114
chr3L	1366784	1367014	53	147	182	61	74	56	76	82	69	77	29	41
chr3L	1383108	1383334	17	47	64	35	53	33	46	36	53	46	21	16
chr3L	1457606	1457999	23	79	52	28	52	23	45	48	30	29	15	23
chr3L	5351241	5351462	46	126	141	87	111	77	66	71	71	75	26	43
chr3L	5385476	5385839	24	80	69	38	61	39	41	49	49	45	26	17
chr3L	5522948	5523402	49	103	129	83	127	74	76	61	69	98	39	52
chr3L	5551290	5551528	7	17	31	15	18	13	17	21	13	13	7	5
chr3L	5554437	5554848	8	43	51	33	32	25	22	29	33	33	20	15
chr3L	5611029	5611295	17	61	78	58	84	43	66	39	52	45	27	25
chr3L	5633009	5634215	82	257	320	131	199	118	174	134	191	169	69	65
chr3L	5946943	5947324	25	73	99	34	68	35	31	53	34	65	18	35
chr3L	5948190	5949099	85	306	313	154	207	136	160	186	162	171	67	86
chr3L	5950545	5951047	30	116	116	54	102	67	93	57	75	62	43	34
chr3L	6065846	6066218	22	108	120	57	78	49	48	70	64	64	22	28
chr3L	6126201	6126965	47	118	123	94	115	72	80	90	69	88	52	48
chr3L	6156535	6156877	23	70	76	51	60	36	24	44	35	37	26	28
chr3L	6216387	6217124	21	94	82	45	72	50	47	51	49	51	30	25
chr3L	7531065	7531248	8	32	50	54	51	39	48	28	39	33	27	10
chr3L	7563676	7564351	20	53	68	71	83	56	51	50	46	39	25	20
chr3L	7568372	7568709	8	25	30	15	25	21	17	15	22	13	7	15
chr3L	7569072	7569568	12	44	46	32	60	41	28	30	37	36	25	10
chr3L	7610332	7611265	62	153	164	41	44	35	68	101	46	100	23	49
chr3L	7654288	7654770	12	64	60	20	44	24	19	25	28	20	18	18
chr3L	7719185	7719581	52	203	192	94	142	96	109	113	108	118	49	56
chr3L	7727474	7727823	24	85	72	51	74	44	53	40	78	42	33	17
chr3L	7738995	7739299	15	62	66	46	68	36	39	46	52	73	21	15
chr3L	7740858	7741674	46	166	168	108	182	91	105	127	103	115	76	49
chr3L	7743753	7743965	32	124	139	86	115	66	81	89	83	83	46	39
chr3L	7813529	7813944	42	106	109	36	90	48	66	92	63	85	37	42
chr3L	7855253	7856571	85	272	280	158	228	155	130	162	149	163	68	104
chr3L	7890283	7890488	17	46	38	9	29	19	13	19	28	18	14	12
chr3L	7983508	7984341	47	190	181	93	127	77	115	88	101	96	59	46
chr3L	8013010	8013992	126	409	465	223	353	202	223	232	234	242	97	107
chr3L	8016759	8017395	26	62	78	47	64	43	37	36	41	57	23	29
chr3L	8050626	8051005	18	30	40	31	35	15	21	31	20	19	16	10
chr3L	8055879	8058936	200	728	811	306	445	289	347	456	389	460	179	228
chr3L	8069514	8069945	45	88	114	55	78	49	48	66	68	57	37	48
chr3L	8073085	8073411	46	173	164	100	139	89	115	101	96	95	60	45
chr3L	8076347	8076848	31	83	90	51	76	46	54	58	57	63	27	35
chr3L	8078959	8079163	21	78	91	54	63	44	67	47	50	57	23	24
chr3L	8080263	8080650	16	60	59	26	40	32	27	33	27	25	19	23
chr3L	8081532	8081915	40	106	114	46	48	23	40	57	43	55	23	36
chr3L	8082867	8083696	65	205	256	98	129	86	87	134	102	148	51	81
chr3L	8151601	8152608	189	675	675	331	472	294	361	407	388	405	155	140
chr3L	8155986	8157233	78	218	237	76	147	88	112	122	111	137	43	68
chr3L	8360156	8361582	117	342	375	147	203	120	174	216	196	242	87	109
chr3L	8368605	8369451	67	279	251	123	195	123	154	149	158	152	66	86
chr3L	8493976	8494240	11	55	59	21	27	24	29	35	28	35	7	21
chr3L	8521088	8521832	64	217	211	51	71	52	74	114	79	111	42	65
chr3L	8524598	8525211	12	38	46	22	24	23	33	30	22	29	18	7
chr3L	8643594	8645192	132	556	573	216	343	231	263	315	263	287	123	144
chr3L	8819145	8820430	70	236	236	75	143	82	111	138	98	143	49	66
chr3L	8824701	8825653	13	73	63	19	38	29	28	31	27	46	19	15
chr3L	8839977	8840942	105	328	359	149	214	128	211	222	208	263	66	84
chr3L	8862378	8862780	49	140	145	78	123	60	79	96	89	85	47	70
chr3L	8914011	8914303	18	72	97	87	133	55	91	39	78	52	57	33
chr3L	9004468	9005078	53	215	274	93	155	77	143	154	153	152	66	62
chr3L	9007442	9008051	36	120	131	35	47	31	53	71	60	62	18	29
chr3L	9040928	9041733	92	368	394	144	199	131	190	252	197	247	80	102
chr3L	9056207	9057188	88	379	410	228	375	221	331	274	308	263	133	115
chr3L	9134485	9134907	20	87	96	38	75	37	54	41	42	44	20	24
chr3L	10236145	10236792	45	187	184	122	181	97	111	88	118	104	47	48
chr3L	10283546	10283952	29	96	109	58	102	51	62	66	82	63	36	38
chr3L	10343204	10343821	42	141	125	108	160	83	130	82	123	87	59	52
chr3L	10663347	10663890	23	52	61	30	39	25	37	39	33	42	17	13
chr3L	10664087	10664318	9	16	33	16	21	9	19	15	19	14	10	3
chr3L	10679688	10680052	10	47	44	20	41	21	26	28	16	20	19	10
chr3L	10683688	10684013	34	76	123	44	53	40	48	57	64	48	25	35
chr3L	10696784	10697531	110	420	452	202	223	160	253	258	211	246	98	99
