chr	start	end	Paste_locus	P1_1	P1_2	P1_3	P2_1	P2_2	P2_3	HYB_1_P1	HYB_2_P1	HYB_3_P1	HYB_1_P2	HYB_2_P2	HYB_3_P2	pos_start	pos_end	P_est.mean	P_p_value	H_est.mean	H_p_value	H_P_est	H_P_p_value	P_qvalue	H_qvalue	P_H_qvalue	Direction_parent	Direction_hybrid	P_H_ratio	Regulatory_class	Direction	trans_reg_diff	perc_cis
chr2R	21654774	21654907	CG10082	335.001478498145	320.972066563577	274.459953610077	301.520429258476	331.343021172143	330.730698789094	345.333678667012	332.245034637199	307.518835528676	328.83229552928	309.248444179287	310.007101325461	start	end	-0.0349812679508258	0.445132326529938	0.038251641483961	0.402402820421426	-0.0732810495846729	0.25614928298418	1	1	0.425133281815616	Ambig	Ambig	0.914503707389748	Conserved	NA	-0.0732329094347868	34.3111589621414
chr3L	1519946	1520763	CG1009	535.253758941171	531.99790038162	453.993908227195	578.052977639178	488.561903667088	555.095745706318	461.551743603026	549.381553337101	410.025114038235	479.255579654376	588.393057509264	504.662723087959	start	end	-0.0639175948318013	0.0729858001230619	-0.101180353638916	0.0056335936372971	0.0372402779198769	0.468516182729784	0.983752581011952	0.112483709883225	0.638403406028939	Ambig	P2	0.631719425096151	Conserved	NA	0.0372627588071147	73.0844256902698
chr3R	12367538	12367564	CG10091	54.2739825499789	67.3864007150052	80.4807382766391	126.605263114056	98.0504858570627	76.450312282906	33.2051614102896	57.5542579686486	71.7543949566911	87.455397747149	136.835594769596	86.5136096722216	start	end	-0.398383564244136	8.72815944941152e-06	-0.648317552298046	0	0.249986728030311	0.0598212946668767	0.000256323918436449	0	0.157601483138438	Ambig	P2	0.614488321088969	Cis	NA	0.24993398805391	72.1755013126969
chr2R	14515068	14515208	CG10112	116.034031658575	141.866106768432	107.307651035519	96.6198060607272	84.5262809112609	58.1687158674285	53.1282582564634	91.5635922228501	150.342541814019	69.9643181977192	136.835594769596	111.74674582662	start	end	0.422590005596954	2.40469338309583e-07	-0.0765938108846024	0.341851819558446	0.499634378255947	1.48965996521781e-05	8.72633561134196e-06	1	0.000219599311726491	P1	Ambig	5.51728658903832	Trans	NA	0.499183816481556	13.3026722894694
chr2R	14575224	14575802	CG10119	50.53094927067	70.933053384216	94.925998992959	123.273545663686	136.932575076243	98.0558353193795	102.936000371898	83.7152843180344	68.3375190063725	118.939340936123	147.782442351164	111.74674582662	start	end	-0.504089212299864	1.22206089692156e-09	-0.394814531415113	7.59733576716215e-07	-0.109215466822881	0.354240271658135	5.51854730209136e-08	3.10223650987887e-05	0.533845526012614	P2	P2	1.2767747187346	Cis	NA	-0.109274680884751	78.3223528259622
chr2R	14600775	14601197	CG10122	514.667075904972	608.250932769652	561.301559262714	744.638850157673	627.185004361556	598.306791779265	614.295486090358	593.855298131056	526.198896349068	514.237738753236	645.864007312494	558.733729133098	start	end	-0.15675281941464	2.22477664424403e-06	0.00897134899295887	0.794552083282656	-0.165760508726104	0.000485197694742645	7.06715160088634e-05	1	0.00392950231791574	P2	Ambig	17.4726030096106	Trans	NA	-0.165724168407599	5.13542025946124
chr2R	14603160	14603289	CG10128	323.772378660219	290.825518875285	290.968823000157	374.818213166614	333.033546790368	297.491432579134	278.923355846433	316.548418827567	259.682572224215	311.34121597985	317.458579865463	310.007101325461	start	end	-0.104467440846972	0.0223851148898413	-0.0932773086741229	0.0480479166889098	-0.0112071100534464	0.862569152462036	0.350269958664226	0.731901231214048	0.920447928450745	P2	P2	1.11996628474717	Conserved	NA	-0.0111901321728491	89.28840212594
chr2R	14618726	14618902	CG10130	422.962760561904	352.891940586474	392.085648014396	316.513157785141	420.940878938079	480.30739673391	421.705549910678	431.656934764865	492.030136845882	437.276988735745	476.187869798195	472.220119460876	start	end	-0.0417213810976198	0.307265402674843	-0.0294803513512494	0.439775596349345	-0.0122191793383347	0.825291022838442	1	1	0.898243509512751	Ambig	Ambig	1.41522672509979	Conserved	NA	-0.0122410297463704	70.6600562485484
chr3L	13449186	13450363	CG10133	82.3467321447955	102.852927407113	111.434868383039	143.263850365906	128.479946985117	104.703688561371	86.333419666753	78.4830790481572	112.756906360515	90.9536136570349	147.782442351164	115.351479562962	start	end	-0.238173308847273	0.00204083219112294	-0.243348776102846	0.00227023378477598	0.00509600326850118	0.965998283705172	0.0404404277331437	0.0507937575397191	0.980812961354043	Ambig	P2	0.978732306204878	Ambiguous	NA	0.005175467255573	97.9175201639749
chr2R	14751144	14751651	CG10149	61.7600491085966	83.3463377264538	70.1626949078392	331.505886311805	267.103047679585	294.167505958138	53.1282582564634	44.4737447939558	85.4218987579656	269.362625061219	232.620511108314	295.58816638009	start	end	-1.4224107892114	0	-1.47193559121741	0	0.0493942324380347	0.661298462481932	0	0	0.794163462495464	P2	P2	0.966353961204886	Cis	NA	0.0495248020060099	96.7449167768945
chr3L	13387665	13387869	CG10171	312.543278822292	269.545602860021	315.732127085277	274.866689655517	258.650419588458	237.660753401208	295.525936551578	300.851803017936	256.265696273897	255.369761421675	254.514206271449	266.75029648935	start	end	0.151989651144707	0.00195489054033866	0.0933131805312781	0.0602652562147758	0.0586454393228217	0.402608185785962	0.0389440123608847	0.888449167352345	0.578556341458031	P1	Ambig	1.62881224580873	Ambiguous	NA	0.0586764706134289	61.3944303631805
chr3L	13388993	13389988	CG10191	565.198025175642	547.957837393068	443.675864858395	519.747922257705	478.418749957737	417.152790934987	415.06451762862	463.050166384128	509.114516597475	458.266284195061	577.446209927696	439.777515833793	start	end	0.095255970905936	0.00954448457556182	-0.0616386425257332	0.0988793744272878	0.156947640485786	0.00278688991722709	0.162413258009743	1	0.0157264497694707	P1	Ambig	1.54539371736112	Ambiguous	NA	0.156894613431669	28.2056121187103
chr3R	23766518	23767452	CG10214	78.6036988654866	95.7596220686916	72.2263035815992	91.6222298851723	92.978909002387	86.4220921458938	92.9744519488109	73.2508737782801	75.1712709070097	62.9678863779472	117.678611501853	72.0946747268513	start	end	-0.094369223483283	0.282359962446306	-0.0458150106441629	0.608934073216237	-0.0485065824156974	0.697925257134431	1	1	0.823081292009325	Ambig	Ambig	2.05978831296651	Conserved	NA	-0.0485542128391201	48.5486782163454
chr3R	23757196	23758138	CG10221	237.682613236114	225.212444494886	239.378606156157	196.571329571824	165.671510586071	204.421487191249	235.756646013056	266.842468763735	269.933200075171	136.430420485552	166.939425618907	176.631953080786	start	end	0.214483967967268	0.000139800291451326	0.475812581779943	4.29151433108178e-11	-0.261333051363317	0.00122972950045641	0.0034706908952089	3.49443951510805e-09	0.00849160581367795	P1	P1	0.450774057224203	Cis_+_Trans,same	Reinforcing	-0.261328613812675	64.5483639531797
chr3L	13411528	13412453	CG10222	80.4752155051411	69.1597270496106	72.2263035815992	109.946675862207	91.2883833841618	73.1263856619101	63.0898066795503	99.4119001276658	102.506278509559	52.4732386482894	57.4709498032304	72.0946747268513	start	end	-0.212271362456606	0.0182012561590741	0.375422868482685	7.99550080124519e-05	-0.588375326009889	6.90767335820297e-06	0.29012666477718	0.00239243901884492	0.000116940225109191	P2	P1	0.565419371799393	Compensatory	Opposing	-0.587694230939291	38.9799816354625
chr3R	23752703	23752830	CG10225	254.526262993004	297.918824213707	218.742519418558	109.946675862207	170.743087440747	162.8724044288	262.320775141288	248.529750319165	314.352587429313	167.914363674526	175.149561305083	158.608284399073	start	end	0.55302303310573	3.89258920185839e-11	0.497606730562829	4.25297963831377e-11	0.0553518583298485	0.502833781421434	2.64525464207534e-09	3.49443951510805e-09	0.669413797481955	P1	P1	1.11136566115217	Cis	NA	0.055416302542901	89.9793861692003
chr2R	14870919	14871068	CG10228	432.320343760176	398.998425286215	474.629994964795	494.760041379931	503.776634231115	427.124570797975	464.872259744055	473.514576923882	399.774486187279	479.255579654376	476.187869798195	450.591717042821	start	end	-0.0876644431234666	0.0219491983222551	-0.0494452626950312	0.194689492383054	-0.0381969844367066	0.478568623663018	0.344735101843294	1	0.647634898654853	Ambig	P2	1.77295939682157	Conserved	NA	-0.0382191804284354	56.4028709169948
chr3R	23732626	23732740	CG10230	699.947223230762	650.810764800182	683.054471014553	742.972991432489	792.856514947627	731.263856619101	634.218582936532	685.418890353906	720.96082551723	738.123556985937	555.552514764561	796.646155731707	start	end	-0.108553473977927	0.000375628837584019	-0.0240327437540748	0.438723832788376	-0.0845085406092942	0.0524008695628286	0.00870282803680275	1	0.144281093108985	P2	Ambig	4.51689890628995	Ambiguous	NA	-0.0845207302238522	22.1390830467218
chr3R	25208119	25208281	CG10244	175.922564127518	198.612549475805	208.424476049758	161.58829634294	150.456780022044	169.520257670792	172.666839333506	198.823800255332	191.345053217843	209.892954593157	227.14708731753	187.446154289813	start	end	0.190994279609994	0.00189109164332383	-0.103870593979855	0.0733211725029455	0.295042000160645	0.000488623381809823	0.0378089348826157	1	0.00394507001190454	P1	Ambig	1.83877142020615	Trans	NA	0.294864873589849	26.0500011731956
chr3R	23693598	23693861	CG10254	145.978297893047	97.532948403297	113.498477056799	104.949099686652	72.6926015836844	64.8165691094203	122.859097218072	96.7957974927272	112.756906360515	52.4732386482894	120.415323397245	93.7230771449067	start	end	0.386833560059507	2.51071800505158e-06	0.220483024323428	0.00713900243288028	0.166343109684373	0.155840135966434	7.91873894023235e-05	0.138170904737529	0.30631049945762	P1	Ambig	1.75448228382453	Ambiguous	NA	0.166350535736079	56.9968707703414
chr2R	14935675	14936018	CG10255	177.794080767172	180.879286129751	181.597563290878	198.237188297009	162.290459349621	217.717193675232	172.666839333506	164.81446600113	119.590658261152	209.892954593157	155.99257803734	155.00355066273	start	end	-0.0678558458457567	0.255682435770981	-0.1306152185033	0.0410267237786504	0.06272141161187	0.476412433303569	1	0.638359589425937	0.645382666488676	Ambig	Ambig	0.519509492257538	Conserved	NA	0.0627593726575433	67.5451814631934
chr2R	14949373	14949424	CG10261	327.515411939528	342.251982578842	270.332736262557	279.864265831072	299.223034425864	267.576092990171	285.564388128491	311.31621355769	222.096936770711	251.871545511789	298.30159659772	219.888757916896	start	end	0.104624687883923	0.0273760037858395	0.0615319473388185	0.221531073157126	0.0430667180325163	0.534787647230766	0.420064150165187	1	0.698846009130244	P1	P1	1.70033116793492	Conserved	NA	0.0430927405451045	58.8120725455218
chr2R	14992325	14993428	CG10265	93.5758319827222	70.933053384216	86.6715642979191	104.949099686652	111.574690802864	109.689578492865	69.7308389616082	91.5635922228501	92.2556506586028	90.9536136570349	90.3114925479335	104.537278353934	start	end	-0.261271261617066	0.00173451477212905	-0.119628421756996	0.164509096927786	-0.14163528058109	0.238212923899933	0.0349940110099541	1	0.404314820383845	P2	Ambig	2.18402330967629	Ambiguous	NA	-0.14164283986007	45.7870571055496
chr3L	6188033	6189101	CG10269	284.470529227475	278.412234533048	231.124171461117	309.849722884401	251.888317115558	337.378552031085	245.718194436143	248.529750319165	201.595681068799	290.351920520535	295.564884702328	266.75029648935	start	end	-0.124258356973383	0.0105379967823722	-0.203180494941324	6.54747813166878e-05	0.078888129587688	0.265137321935133	0.177413106448684	0.00198867864463444	0.434282355029831	Ambig	P2	0.611566366197047	Ambiguous	NA	0.078922137967941	72.0236081620247
chr3L	6183930	6185038	CG10270	157.207397730973	161.372696449091	167.152302574558	243.215373877003	265.412522061359	245.970569953698	122.859097218072	151.733952826437	133.258162062426	157.419715944868	265.461053853017	338.844971216201	start	end	-0.44045284408519	0	-0.624585864571186	0	0.184103053457477	0.0295478609713058	0	0	0.0975265247656684	P2	P2	0.705191822404732	Cis	NA	0.184133020485996	77.2315171701504
chr3L	6178678	6180115	CG10274	138.492231334429	187.972591468172	132.070955120639	188.2420359459	211.315702278152	191.125780707265	142.782194064245	154.350055461376	136.675038012745	157.419715944868	194.306544572827	155.00355066273	start	end	-0.253165264532444	4.28125804936563e-05	-0.155290573602961	0.0172822483459079	-0.0978460275256534	0.277319294957644	0.00114922422395162	0.303670351032777	0.447992634219651	P2	P2	1.63026807525178	Ambiguous	NA	-0.097874690929483	61.3396051349138
chr3L	6173759	6173866	CG10289	198.380763803371	180.879286129751	127.943737773119	271.534972205147	233.29253531508	207.745413812245	195.910452320709	198.823800255332	153.759417764338	209.892954593157	238.093934899097	169.422485608101	start	end	-0.339898143988127	1.99252747634659e-09	-0.118282399662861	0.043319457751388	-0.221618655403618	0.00714401325614533	8.87132295573571e-08	0.669803286356757	0.0329453265098864	P2	P2	2.8736155586709	Trans	NA	-0.221615744325266	34.7993661498171
chr2R	21685269	21685446	CG10306	1368.0786635874	1409.79443601129	1357.85450733407	1670.85630136051	1595.85618360461	1553.93569531559	1563.96310242464	1420.54373077165	1715.27172705995	1563.70251171902	1354.672388219	1726.66745970809	start	end	-0.153221229630549	0	0.0117134718975493	0.57421044755789	-0.164951837727387	2.38335646773891e-08	0	1	7.10673564925784e-07	P2	Ambig	13.0807698153616	Trans	NA	-0.164934701528098	6.63096123237277
chr3R	16342317	16342549	CG10309	56.1454991896333	70.933053384216	43.3357821489595	26.6537396029592	38.88208921918	41.5490827624489	53.1282582564634	62.7864632385258	37.5856354535049	48.9750227384034	41.0506784308789	46.8615385724533	start	end	0.464494851580289	0.000125521847656965	0.114386424653496	0.332191558838665	0.350448403845359	0.0394621824210792	0.00315189712028558	1	0.118341447626185	P1	Ambig	4.06075155323156	Ambiguous	NA	0.350108426926793	24.6259833159257
chr2R	21670201	21670288	CG10318	84.21824878445	67.3864007150052	51.5902168439994	59.9709141066583	81.1452296748105	99.7177986298774	79.6923873846951	86.3313869529729	51.2531392547794	62.9678863779472	87.5747806525416	100.932544617592	start	end	-0.169813532825243	0.0736677931789895	-0.146048842794868	0.113827545549762	-0.0236817013369098	0.856353391176936	0.991027410388943	1	0.917858984079154	Ambig	Ambig	1.16271741408971	Conserved	NA	-0.023764690030375	86.0054203955397
chr2R	21658539	21658777	CG10320	477.236743111883	533.771226716225	474.629994964795	488.096606479191	510.538736704016	520.194516185861	607.6544538083	525.836629622653	615.037671057352	510.73952284335	610.286752672399	648.852072541662	start	end	-0.0220711555523824	0.543670230759996	-0.0121116226798718	0.717516466065069	-0.00994445716060512	0.839206284203946	1	1	0.906577723240492	Ambig	Ambig	1.82231201679212	Conserved	NA	-0.0099595328725106	54.8753446602593
chr2R	21634667	21634981	CG10321	239.554129875769	202.159202145016	196.042824007198	349.83033228884	388.8208921918	332.392662099592	235.756646013056	227.600929239656	205.012557019117	283.355488700763	306.511732283896	299.192900116433	start	end	-0.518369243353014	0	-0.285255515750946	1.74625545135143e-08	-0.233104119335645	0.00110832201077415	0	8.77975908407856e-07	0.00779688192029858	P2	P2	1.81721023689371	Cis_+_Trans,opposing	Opposing	-0.233113727602068	55.0294060476664
chr3R	16643604	16643908	CG10326	151.59284781201	157.826043779881	150.643433184478	189.907894671085	206.244125423477	156.224551186808	102.936000371898	125.572926477052	160.593169664975	153.921500034982	123.152035292637	187.446154289813	start	end	-0.182781882633253	0.00366364950985076	-0.177072240621481	0.00969028877249256	-0.00578265982370718	0.948165708471935	0.0683771338111468	0.180249420670216	0.969975368043024	P2	Ambig	1.03224470414861	Conserved	NA	-0.00570964201177201	96.8762538554063
chr3R	16614103	16614387	CG10340	157.207397730973	164.919349118302	148.579824510718	108.280817137022	109.884165184639	141.266881392326	142.782194064245	146.50174755656	136.675038012745	83.957181837263	93.0482044433254	140.58461571736	start	end	0.269619659130531	0.0001092503607723	0.29349272647451	6.76574932660993e-05	-0.0237941410548425	0.81346487734567	0.0027652359047934	0.0020493599070976	0.89161730917086	P1	Ambig	0.918658742822193	Cis	NA	-0.023873067343979	92.4777440389077
chrX	11852691	11853341	CG10347	136.620714694774	136.546127764616	119.689303078079	124.939404388871	153.837831258495	144.590808013322	152.743742487332	120.340721207174	153.759417764338	129.43398866578	114.941899606461	126.16568077199	start	end	-0.0747153280605347	0.284979947151501	0.141358749262664	0.04652085556711	-0.216262656025082	0.0298021901673799	1	0.712840844100182	0.0976633843055046	Ambig	P1	0.528551139920624	Conserved	NA	-0.216074077323199	39.5483399252661
chrX	11883177	11883621	CG10353	555.84044197737	505.398005362539	470.502777617275	433.123268548088	380.368264100674	412.166901003493	348.654194808041	483.978987463636	351.938222882818	363.81445462814	377.666241564086	353.263906161571	start	end	0.222876854078029	3.65866030406523e-09	0.0788006024087065	0.060566943696343	0.144061267777408	0.0112922468622638	1.58131407642769e-07	0.892303451250037	0.0476551946020429	P1	Ambig	2.82836485084286	Trans	NA	0.144076251669323	35.356117500258
chr3R	23747095	23747555	CG10367	67.37459902756	65.6130743803998	76.3535209291192	48.3099030303636	47.3347173103061	38.225156141453	63.0898066795503	83.7152843180344	68.3375190063725	38.4803750087455	62.9443735940143	43.2568048361108	start	end	0.446984470219769	4.00507443387732e-05	0.396649523336226	0.000186721482381209	0.0502309403562027	0.747268809833377	0.00108414635297644	0.0051621822353934	0.852261498857783	P1	P1	1.12690030851462	Cis	NA	0.050334946883543	88.7389942521281
chr3R	23752877	23753223	CG10370	705.561773149725	686.27729149229	798.616556745111	649.684902822131	513.919787940466	674.757104062171	853.372648244443	633.096837655135	734.628329318504	479.255579654376	333.878851237815	501.057989351617	start	end	0.175205826151954	2.64461120805457e-08	0.524742804206528	5.14495907114944e-11	-0.349535458426063	0	1.07394639650644e-06	3.56783719141835e-09	0	P1	P1	0.333888954259955	Cis_+_Trans,same	Reinforcing	-0.349536978054574	60.0200090238178
chr3R	23758977	23759295	CG10371	129.134648136157	120.586190753167	144.452607163198	83.2929362592476	59.1683966378827	78.112275593404	109.577032653956	120.340721207174	105.923154459877	55.9714545581753	82.1013568617577	86.5136096722216	start	end	0.580474006265389	2.88491170033111e-11	0.402276640558183	2.2303688002859e-06	0.178199710885125	0.139665219464206	2.26355718830471e-09	8.58553991270332e-05	0.287211235011032	P1	P1	1.44297219311553	Cis	NA	0.178197365707206	69.3014047513205
chr3R	23767711	23767870	CG10375	97.318865262031	81.5730113918484	96.989607666719	99.9515235110971	103.122062711738	94.7319086983836	73.0513551026372	81.0991816830958	102.506278509559	80.458965927377	68.4177973847981	82.908875935879	start	end	-0.0763681994276439	0.359420846085573	0.101808553556753	0.262497781056472	-0.178413573225005	0.146874684130957	1	1	0.296306512166362	Ambig	Ambig	0.75011574921426	Conserved	NA	-0.178176752984397	36.3621058599338
chr3L	11682036	11682222	CG10415	320.02934538091	241.172381506334	226.996954113598	324.842451411066	319.509341844566	337.378552031085	202.551484602767	272.074674033612	235.764440571985	293.85013643042	306.511732283896	291.983432643748	start	end	-0.21951371186554	4.02269182475656e-06	-0.227977584041889	5.21319973811885e-06	0.0084176034666514	0.905886510748496	0.000123364976187027	0.000187037764598739	0.946276355176773	P2	P2	0.962874103557507	Cis	NA	0.008463872176349	96.4203095718812
chr3L	12336675	12336717	CG10418	104.804931820649	95.7596220686916	94.925998992959	119.941828213317	99.7410114752879	126.309211597845	126.179613359101	104.644105397543	82.005022807647	94.4518295669209	106.731763920285	147.794083190045	start	end	-0.157673002532346	0.0458287657408887	-0.109250436316729	0.15958900733535	-0.0483666275909213	0.661256165536088	0.658972363103501	1	0.794163462495464	P2	Ambig	1.44322538058553	Conserved	NA	-0.048422566215617	69.289247088649
chr3R	25247432	25247500	CG10423	724.27693954627	842.330008937565	784.171296028792	799.612188088777	796.237566184078	771.150976071052	687.346841192995	727.276532512923	809.799600225514	808.087875183656	711.5450928019	760.598818368281	start	end	-0.00686766860968804	0.811499713306561	-0.0247606691552745	0.404944433711327	0.0178825130963891	0.670285636008224	1	1	0.800195408956133	Ambig	Ambig	0.27736199561574	Conserved	NA	0.0178930005455865	58.050501466641
chr3R	25262183	25262494	CG10425	59.8885324689422	86.8929903956646	74.2899122553592	49.9757617555486	60.8589222561079	61.4926424884244	66.4103228205792	81.0991816830958	71.7543949566911	80.458965927377	49.2608141170546	93.7230771449067	start	end	0.248957475160328	0.0139345680963822	-0.0187865075279918	0.841197312912156	0.268097089249015	0.0540504248637625	0.227011992583702	1	0.14697234698706	P1	Ambig	13.2519295983771	Conserved	NA	0.26774398268832	6.55654744240629
chr2R	20273256	20274525	CG10444	144.106781253392	109.946232745535	92.862390319199	141.597991640721	109.884165184639	129.633138218841	112.897548794985	115.108515937297	88.8387747082842	125.935772755894	180.622985095867	126.16568077199	start	end	-0.0939335062639962	0.204517615697593	-0.311588218373001	2.11181931810689e-05	0.217680569782059	0.0378188970058062	1	0.000686571540595152	0.115247486542609	Ambig	P2	0.301466810120365	Ambiguous	NA	0.217654712109005	58.8743279176584
chr2R	19396623	19396760	CG10460	220.838963479224	207.479181148832	214.615302071038	168.25173124368	142.004151930918	212.731303743739	192.58993617968	206.672108160147	211.846308919755	195.900090953614	186.096408886651	216.284024180554	start	end	0.206414113379491	0.000441850311598299	0.0211681083664668	0.71519103197243	0.18526179315806	0.0245388385316278	0.0100998946783421	1	0.0850593293355236	P1	Ambig	9.7511837055067	Ambiguous	NA	0.185246005013024	10.2551652209698
chr3L	5931617	5932317	CG10480	776.679405456594	985.969442040602	891.47894706431	1319.36011034648	1342.27734087082	1141.7687943121	1032.68051986001	933.948640673071	857.635863529975	1010.98439795704	1113.84174142451	1207.58580167476	start	end	-0.359752119081372	0	-0.165417726038098	0	-0.194321314113915	6.24881328903371e-08	0	0	1.70800896566921e-06	P2	Ambig	2.17480996564126	Ambiguous	NA	-0.194334393043274	45.9810289541845
chr3L	12465843	12466164	CG10488	203.995313722334	203.932528479621	206.360867375998	156.590720167385	155.52835687672	204.421487191249	172.666839333506	217.136518699902	283.600703876446	150.423284125096	216.200239735962	248.726627807637	start	end	0.173238333085362	0.00367197087461306	0.0900886688604641	0.106833821587981	0.0831155486047488	0.310534221478198	0.068474802268142	1	0.486182456538658	P1	P1	1.92297583343901	Conserved	NA	0.0831496642248979	52.0027336075056
chr3L	5896673	5897379	CG10489	159.078914370628	212.799160152648	185.724780638398	356.49376718958	278.936727007161	257.604313127183	192.58993617968	211.904313430024	228.930688671348	230.882250052473	232.620511108314	237.912426598609	start	end	-0.470902198007636	0	-0.101895011880661	0.0624941550987528	-0.369048778008641	1.49380465597204e-06	0	0.917716042586611	2.86112658194937e-05	P2	P2	4.62144504737047	Trans	NA	-0.369007186126975	21.6382536143967
chr3L	1550713	1551288	CG1049	145.978297893047	184.425938798962	212.551693397278	193.239612121454	226.530432842179	234.336826780212	189.269420038651	183.1271844457	225.513812721029	251.871545511789	172.412849409691	187.446154289813	start	end	-0.186171647824976	0.00129252270446001	-0.0227965755889159	0.689823048142106	-0.163382078361074	0.0451584792419497	0.0267335608064507	1	0.129558065909735	P2	Ambig	8.16664972766769	Ambiguous	NA	-0.16337507223606	12.2449233571524
