chrom	start	end	zhr1_zhr	zhr2_zhr	zhr3_zhr	z301_z30	z302_z30	z303_z30	zhrz301_z30	zhrz301_zhr	zhrz302_z30	zhrz302_zhr	zhrz303_z30	zhrz303_zhr
chr2R	10807791	10814875	684	333	798	136	501	163	421	494	472	494	420	419
chr2R	10815800	10819425	54	35	61	16	38	20	31	30	34	32	24	27
chr2R	10819786	10822715	332	164	305	50	241	81	167	193	182	167	174	195
chr2R	10823006	10825683	177	94	277	59	130	38	215	227	176	166	145	115
chr2R	10829179	10837286	180	112	205	30	117	41	130	125	110	136	116	128
chr2R	10838187	10853221	541	260	556	90	375	137	350	338	321	318	329	318
chr2R	10853496	10859501	346	191	404	76	323	103	240	232	211	229	195	213
chr2R	10859766	10864811	251	125	334	53	203	77	189	166	165	167	163	150
chr2R	10865089	10867877	67	44	93	14	59	29	68	61	69	47	50	44
chr2R	10868081	10869361	34	23	45	11	27	6	16	26	36	25	27	20
chr2R	10869619	10873456	507	156	383	97	367	121	324	327	287	268	276	282
chr2R	10873667	10877635	879	393	812	156	626	194	482	578	479	601	443	577
chr2R	10877875	10889126	624	276	606	104	485	150	353	381	333	383	351	385
chr2R	10891128	10893014	47	21	38	10	37	13	31	27	35	26	26	25
chr2R	10893517	10906081	1055	485	954	191	847	235	643	621	654	613	658	561
chr2R	10911413	10913087	11	8	24	3	7	6	8	6	7	10	8	13
chr2R	10918529	10921050	40	14	39	8	20	4	13	20	16	24	17	16
chr2R	10927921	10929881	30	17	39	6	23	7	25	13	18	25	14	19
chr2R	10930085	10937576	96	63	165	15	53	26	51	60	52	69	44	53
chr2R	10937932	10940341	34	17	27	8	17	9	14	15	23	18	20	20
chr2R	10940727	10945779	74	38	65	22	49	13	42	49	66	64	53	56
chr2R	10955574	10960673	54	42	74	7	46	25	35	38	53	42	32	39
chr2R	10966964	10969789	22	17	39	6	17	6	24	15	18	12	24	20
chr2R	10971986	10976083	92	53	114	14	54	32	58	64	52	73	63	60
chr2R	10976433	10979684	38	14	54	11	21	8	30	22	24	24	25	22
chr2R	10982923	10993251	268	147	310	51	172	72	138	148	136	154	151	149
chr2R	10993501	11009730	411	236	519	76	245	106	247	261	246	282	231	243
chr2R	11038140	11042695	101	50	129	16	53	19	61	62	47	61	35	61
chr2R	11048896	11052566	46	35	67	13	35	18	29	26	37	34	39	38
chr2R	11052984	11080886	2816	1304	2667	440	1668	672	1485	1711	1343	1568	1382	1589
chr2R	11081102	11091742	789	343	871	192	834	314	686	557	684	534	623	478
chr2R	11091974	11095955	183	91	226	29	149	50	113	115	112	115	96	110
chr2R	11096371	11101562	571	236	650	107	457	134	371	454	419	418	385	373
chr2R	11101911	11105294	564	255	473	41	259	82	208	412	197	394	187	374
chr2R	11105603	11107215	220	97	201	26	153	65	148	145	125	117	130	137
chr2R	11113400	11117054	100	52	113	16	59	17	58	77	38	59	43	45
chr2R	11118187	11120085	13	16	22	4	11	5	12	8	11	11	14	11
chr2R	11127160	11131777	75	36	57	10	28	18	33	31	40	46	33	43
chr2R	11134898	11138238	126	48	135	20	84	41	59	95	79	104	81	102
chr2R	11138685	11147491	270	108	294	48	181	58	162	195	145	200	154	167
chr2R	11147751	11151802	210	115	257	51	168	50	167	161	137	147	137	138
chr2R	11171794	11173615	42	20	42	12	35	19	35	41	31	34	45	39
chr2R	11202184	11202942	307	141	322	74	275	101	169	191	177	178	163	159
chr2R	11204285	11204893	125	77	105	20	116	28	80	63	64	48	59	58
chr2R	11214668	11215606	27	20	27	5	14	10	14	23	21	22	13	18
chr2R	11224385	11226348	22	19	30	3	30	12	22	13	16	17	20	15
chr2R	11246749	11251562	71	40	85	12	49	11	39	48	45	51	38	56
chr2R	11251779	11260945	318	118	331	85	287	116	212	172	236	228	212	162
chr2R	11262490	11263433	14	10	21	3	10	4	15	10	10	16	8	12
chr2R	11279245	11280357	262	106	214	28	164	48	129	130	114	101	121	140
chr2R	11280844	11283273	49	9	44	12	39	7	30	17	22	18	25	23
chr2R	11283946	11284824	70	38	98	25	72	27	70	44	56	60	56	45
chr2R	11285621	11288610	40	19	42	8	35	11	29	26	28	26	32	25
chr2R	11292767	11293247	88	49	107	26	88	25	82	48	66	49	83	50
chr2R	11293678	11297681	330	171	303	45	202	58	159	188	126	197	164	202
chr2R	11312679	11314878	51	23	54	7	50	19	31	30	34	31	42	22
chr2R	11319270	11321305	39	21	45	6	26	11	23	27	26	30	25	24
chr2R	11323321	11325201	83	36	75	10	45	24	46	47	50	38	43	29
chr2R	11328120	11331234	83	42	105	17	69	36	77	57	62	32	70	37
chr2R	11360193	11361345	52	33	83	12	39	17	32	66	33	58	40	51
chr2R	11365020	11371422	1437	646	1326	315	1325	419	1033	995	1016	911	1008	874
chr2R	11376734	11381306	115	73	153	18	88	24	79	73	66	78	71	79
chr2R	11381674	11392200	428	206	617	136	437	156	519	382	457	359	379	297
chr2R	11392628	11395569	62	23	103	92	303	100	269	52	261	62	227	54
chr2R	11396347	11401898	377	187	423	94	343	141	315	235	251	207	283	197
chr2R	11418664	11421370	53	20	64	11	37	13	41	32	42	31	35	31
chr2R	11435272	11435939	37	24	45	17	26	6	26	33	27	18	32	16
chr2R	11439348	11442024	26	13	29	9	27	20	47	17	25	18	22	14
chr2R	11446659	11448822	24	8	34	1	14	6	29	17	29	24	20	16
chr2R	11450569	11453418	285	148	344	75	258	85	286	214	275	216	229	207
chr2R	11458468	11460091	37	24	28	9	19	10	24	17	17	20	23	26
chr2R	11466909	11467880	32	16	21	15	57	19	52	24	29	22	22	27
chr2R	11470628	11472762	54	18	31	17	64	11	55	37	42	49	51	35
chr2R	11475677	11476965	59	32	50	14	66	22	57	37	43	29	60	52
chr2R	11482652	11485332	127	60	125	29	169	52	128	111	92	96	145	82
chr2R	11485614	11490326	402	153	322	42	208	56	184	247	177	210	161	175
chr2R	11515623	11517122	384	180	280	94	405	137	352	299	244	248	226	228
chr2R	11525630	11531995	775	402	617	192	685	269	447	434	422	453	458	453
chr2R	11532267	11534706	21	22	44	6	25	12	19	20	30	34	22	25
chr2R	11556985	11559239	45	34	44	24	95	27	89	60	95	62	74	40
chr2R	11560045	11563645	873	409	740	173	750	214	579	626	528	569	475	522
chr2R	11566302	11567287	16	7	26	2	14	3	8	18	11	8	19	9
chr2R	11568873	11570903	55	40	48	15	45	15	47	42	43	53	32	35
chr2R	11572431	11577639	216	95	183	70	243	76	202	169	201	167	187	117
chr2R	11579257	11581775	60	30	47	13	41	10	26	41	26	31	36	36
chr2R	11582173	11587339	221	116	204	38	139	66	117	114	123	122	136	144
chr2R	11593016	11594155	69	32	115	21	86	38	130	57	84	36	99	33
chr2R	11616435	11619765	69	33	86	41	184	63	153	33	132	55	127	46
chr2R	11620367	11641314	3670	1554	3434	757	3076	1084	2566	2529	2078	2054	2066	1974
chr2R	11644726	11647256	228	118	283	44	172	88	111	141	91	95	108	109
chr2R	11647516	11649868	351	149	306	34	163	63	139	200	107	170	105	167
chr2R	11650137	11654450	333	135	376	59	280	77	255	253	207	231	172	215
chr2R	11656906	11665263	1006	466	1057	219	826	325	694	707	626	604	565	555
chr2R	11668621	11674480	98	58	114	14	83	34	71	47	78	65	63	76
chr2R	11674685	11678407	64	30	74	13	53	8	43	48	45	55	43	44
chr2R	11678684	11682238	204	92	185	23	128	51	115	134	110	116	114	91
chr2R	11682708	11692257	289	147	394	72	233	95	240	243	210	229	204	181
chr2R	11692851	11694759	32	15	35	11	27	5	18	21	11	20	22	16
chr2R	11695482	11701681	510	172	354	60	309	86	281	358	216	267	224	267
chr2R	11702148	11706852	703	294	630	110	465	163	370	426	267	398	338	376
chr2R	11707766	11708757	40	15	45	11	32	7	41	38	21	23	33	34
chr2R	11708987	11713617	491	226	479	42	237	64	225	315	143	234	174	258
chr2R	11717394	11726055	233	98	235	61	201	71	193	146	220	149	167	173
chr2R	11745443	11751680	204	103	260	58	217	76	204	160	170	140	180	136
chr2R	11751897	11753765	39	23	58	9	19	9	17	28	26	26	25	33
chr2R	11754162	11756015	254	80	183	36	176	49	153	156	124	118	95	107
chr2R	11757638	11758321	14	2	24	2	9	2	5	8	11	13	6	7
chr2R	11759526	11764950	210	91	197	44	214	70	156	166	163	169	148	154
chr2R	11765213	11770097	132	47	146	18	70	23	73	89	67	61	57	74
chr2R	11771258	11773075	16	8	28	7	13	10	19	19	16	9	19	12
chr2R	11775924	11778420	47	30	56	8	41	23	27	27	32	33	37	27
chr2R	11778718	11785371	146	108	265	35	171	75	163	113	165	135	96	85
chr2R	11785773	11787635	20	17	21	4	13	2	19	17	9	11	12	15
chr2R	11793227	11797389	71	43	71	12	76	27	56	43	59	54	57	41
chr2R	11797697	11812500	417	200	537	97	402	161	299	299	310	291	276	227
chr2R	11814463	11817640	171	103	244	28	115	44	78	134	82	126	68	108
chr2R	11820899	11822678	61	34	91	21	93	31	60	49	61	50	59	39
chr2R	11822998	11823922	114	44	71	14	87	34	44	55	92	84	82	78
chr2R	11824276	11826374	208	111	259	52	217	73	184	177	178	133	159	126
chr2R	11826637	11829143	71	39	51	9	38	24	42	30	37	48	37	36
chr2R	11829387	11835028	619	213	449	92	330	127	295	354	221	252	239	272
chr2R	11837221	11840498	206	113	344	49	190	60	175	149	148	154	167	144
chr2R	11840718	11847123	240	121	272	36	147	39	113	175	142	136	109	142
chr2R	11847475	11852565	110	45	94	26	54	26	58	62	62	73	60	64
chr2R	11852800	11854626	47	21	63	12	40	15	27	49	36	38	29	41
chr2R	11858294	11862814	121	58	113	26	82	22	59	69	86	86	76	91
chr2R	11863127	11865199	89	55	96	19	61	34	35	67	38	48	31	45
chr2R	11868082	11886094	534	315	613	128	414	137	343	331	345	339	306	329
chr2R	11889618	11891498	697	288	587	98	410	151	350	407	288	324	338	356
chr2R	11891969	11892849	104	62	130	35	137	46	134	83	101	70	92	67
chr2R	11895877	11909687	844	398	849	139	593	219	486	514	440	418	455	496
chr2R	11911640	11913213	278	108	249	80	297	90	303	240	203	183	233	192
chr2R	11913431	11916670	84	38	68	10	45	23	43	37	43	49	33	45
chr2R	11917424	11932703	442	212	482	61	265	95	247	322	254	356	243	327
chr2R	11933806	11935480	27	12	25	4	15	3	14	23	6	25	11	12
chr2R	11938337	11939618	212	97	181	37	160	60	141	136	128	137	124	119
chr2R	11939893	11942994	63	37	73	9	48	16	50	49	28	32	33	26
chr2R	11951930	11956883	135	58	147	42	144	49	134	115	134	102	133	120
chr2R	11959970	11963819	156	50	124	25	104	41	78	91	65	81	73	103
chr2R	11964044	11965890	53	23	45	5	36	16	16	28	14	16	17	27
chr2R	11966320	11969467	72	47	81	16	62	21	63	53	49	49	39	52
chr2R	11969877	11971106	103	46	138	31	71	14	79	92	81	73	62	72
chr2R	11976892	11980706	113	62	133	24	84	40	93	64	104	79	81	72
chr2R	11980938	11982438	33	16	28	6	23	6	11	7	12	14	21	28
chr2R	11983426	11986362	201	89	271	49	167	54	149	200	165	176	157	140
chr2R	11987824	11989566	271	125	309	55	216	61	224	237	177	184	179	159
chr2R	11990456	11994507	89	44	97	17	42	15	46	35	52	42	51	50
chr2R	11996741	12001471	53	37	69	12	46	18	41	31	48	37	49	31
chr2R	12001760	12025549	3643	1776	3657	705	3023	1079	2406	2412	2137	2187	2025	2055
chr2R	12026779	12052688	1049	518	1216	216	876	301	802	684	729	757	681	692
chr2R	12052907	12055256	32	22	45	6	22	3	23	22	14	30	13	24
chr2R	12055863	12062410	63	45	86	15	34	23	33	41	33	62	36	44
chr2R	12063228	12068426	262	100	187	55	274	64	207	131	191	115	202	123
chr2R	12096242	12109284	531	160	338	66	251	66	218	351	200	307	180	329
chr2R	12109488	12111386	33	17	39	4	22	2	23	36	22	38	17	16
chr2R	12111710	12114659	20	12	30	5	24	7	13	23	13	17	19	16
chr2R	12115738	12118466	27	11	25	5	15	13	19	12	15	15	18	15
chr2R	12135495	12139390	85	42	113	22	47	22	39	57	48	63	50	47
chr2R	12140034	12141080	74	32	85	6	39	27	30	59	35	44	34	49
chr2R	12141495	12146859	297	153	236	55	235	80	172	128	173	155	162	145
chr2R	12149490	12150330	28	14	23	5	24	6	12	10	18	17	19	21
chr2R	12151013	12152287	21	13	68	13	26	7	49	53	45	39	35	22
chr2R	12152855	12155230	64	45	67	10	61	17	38	46	36	46	42	46
chr2R	12157844	12167766	371	172	365	60	237	95	217	239	209	225	193	206
chr2R	12168244	12170545	153	75	133	29	116	39	90	101	87	96	92	88
chr2R	12170873	12175829	360	159	470	77	348	93	353	326	319	311	294	223
chr2R	12176880	12180719	319	162	421	69	227	79	219	283	233	245	164	198
chr2R	12181304	12185544	230	132	280	40	208	64	160	163	175	160	155	168
chr2R	12185990	12189699	110	55	115	18	84	27	59	80	58	62	65	77
chr2R	12190257	12195112	80	42	74	11	54	19	62	42	50	40	55	45
chr2R	12195416	12202435	522	277	518	123	400	135	306	322	301	287	293	321
chr2R	12202656	12204830	21	21	25	5	17	5	27	16	25	14	17	12
chr2R	12205128	12206859	22	7	26	3	30	8	21	18	15	25	20	12
chr2R	12216026	12219747	37	22	38	8	32	8	18	16	20	24	22	16
chr2R	12224482	12227184	65	23	60	8	51	32	46	29	44	38	40	31
chr2R	12227669	12232027	194	87	223	35	154	59	141	151	123	127	120	132
chr2R	12232239	12236874	71	24	70	13	66	6	51	47	53	39	38	33
chr2R	12246321	12248572	38	26	53	5	25	7	32	24	38	22	14	16
chr2R	12248827	12251004	22	9	33	3	7	7	7	12	12	18	14	13
chr2R	12251468	12260105	414	165	416	51	186	53	183	329	154	226	151	214
chr2R	12260753	12265468	336	188	416	53	180	69	214	222	211	229	207	210
chr2R	12278345	12280113	16	16	32	6	15	1	14	14	14	8	10	7
chr2R	12280782	12283305	27	15	35	9	19	11	12	18	16	27	10	11
chr2R	12286992	12292110	29	14	59	6	22	9	33	21	12	18	35	21
chr2R	12295651	12298167	37	20	39	7	12	5	21	21	23	15	17	32
chr2R	12298479	12303630	122	54	131	15	62	18	46	68	50	72	51	77
chr2R	12304159	12310233	129	56	131	16	86	32	62	67	73	70	66	70
chr2R	12311547	12315393	90	55	93	16	70	28	39	41	44	33	47	29
chr2R	12320684	12321832	65	27	132	6	45	11	47	50	35	60	41	41
chr2R	12322377	12323786	26	11	22	4	13	2	9	14	6	19	7	12
chr2R	12324994	12331982	369	191	314	68	299	109	186	169	162	168	196	218
chr2R	12332664	12335072	221	117	410	84	193	55	248	239	221	213	175	159
chr2R	12335874	12337484	248	117	238	49	150	47	151	196	132	175	108	136
chr2R	12337764	12341925	139	60	147	17	109	36	82	89	90	98	80	82
chr2R	12344580	12345423	167	86	134	28	131	39	97	72	67	85	95	114
chr2R	12349925	12352539	37	19	51	11	33	7	31	18	31	27	39	19
chr2R	12353038	12365511	215	90	250	53	163	64	137	135	150	116	146	123
chr2R	12366810	12372550	88	52	105	20	83	41	58	70	76	77	78	56
chr2R	12373107	12376898	67	29	67	16	62	18	34	32	52	40	61	42
chr2R	12377111	12381047	87	36	72	10	49	17	35	55	39	45	32	50
chr2R	12381319	12393590	736	280	733	146	523	223	420	335	384	317	364	265
chr2R	12400347	12401720	27	13	25	2	22	5	22	13	17	20	22	16
chr2R	12407175	12410976	85	42	108	23	72	23	77	59	60	64	75	40
chr2R	12420143	12421029	26	9	35	3	15	10	14	18	14	15	11	14
chr2R	12424523	12428712	147	77	154	34	124	25	84	87	90	94	94	78
chr2R	12430311	12431605	148	59	148	29	110	32	107	113	107	98	76	87
chr2R	12432033	12445689	654	281	797	162	551	186	543	455	520	454	471	416
chr2R	12446038	12451588	81	46	92	19	58	19	47	49	45	49	56	49
chr2R	12452706	12458299	2300	1003	1826	442	1939	668	1391	1407	1289	1242	1317	1303
chr2R	12459694	12469785	562	266	600	100	326	113	300	346	301	314	258	313
chr2R	12471824	12476367	274	148	260	20	115	39	86	176	78	166	80	181
chr2R	12477313	12481149	61	39	76	15	40	24	34	42	40	49	40	38
chr2R	12482655	12487728	116	64	145	18	71	45	64	73	87	90	56	81
chr2R	12488559	12491033	55	26	51	13	29	16	35	20	30	28	33	25
chr2R	12491504	12492989	36	19	34	6	12	3	13	13	14	13	6	15
chr2R	12495508	12497296	23	14	34	6	12	8	9	16	24	14	7	9
chr2R	12497750	12501825	83	57	93	18	64	29	55	56	48	51	61	66
chr2R	12505683	12508032	179	80	196	25	101	38	78	90	63	107	82	118
chr2R	12514409	12515878	185	115	233	54	160	54	129	149	140	150	109	124
chr2R	12516297	12522378	251	122	310	35	162	56	118	187	143	185	120	178
chr2R	12522699	12524142	54	16	59	4	22	3	31	24	27	23	20	36
chr2R	12524470	12526320	97	57	159	14	50	41	52	64	56	60	48	47
chr2R	12526644	12531571	463	232	532	90	328	104	282	347	273	292	259	278
chr2R	12531808	12546315	1207	539	1255	243	854	337	829	842	661	688	613	652
chr2R	12546549	12565372	532	228	540	83	361	128	366	418	338	352	309	332
chr2R	12565945	12567285	190	80	167	42	189	51	138	127	133	147	163	146
chr2R	12569092	12573362	286	141	305	64	201	58	199	203	151	161	142	174
chr2R	12576591	12578402	35	21	55	5	28	8	43	37	27	28	25	20
chr2R	12578885	12580707	54	39	66	10	54	13	39	31	50	41	42	32
chr2R	12582165	12588037	1130	449	890	172	808	211	634	656	549	639	579	606
chr2R	12588697	12590600	433	214	518	88	313	104	282	318	318	313	303	333
chr2R	12608696	12611304	46	20	51	14	48	14	36	42	45	42	41	34
chr2R	12612054	12613846	419	182	400	104	454	143	433	438	416	348	333	334
chr2R	12622634	12627779	79	41	111	12	58	17	59	60	54	75	45	48
chr2R	12632917	12637089	503	244	466	114	394	115	306	309	316	315	273	310
chr2R	12638220	12643433	117	80	150	27	133	38	104	81	95	89	92	86
chr2R	12644579	12650814	191	96	170	49	196	55	194	119	160	113	161	118
chr2R	12651165	12657401	378	144	346	69	271	92	264	233	265	212	193	191
chr2R	12663013	12663716	116	52	117	10	66	19	55	53	43	56	50	68
chr2R	12664330	12665344	71	34	74	9	22	11	29	40	35	26	28	25
chr2R	12665582	12667355	79	26	61	8	53	12	46	53	34	43	39	43
chr2R	12667577	12669142	66	34	79	11	48	25	38	39	25	43	37	46
chr2R	12669611	12673901	133	65	132	29	91	41	79	84	89	82	69	89
chr2R	12674227	12683380	341	158	403	88	405	139	307	217	246	201	266	207
chr2R	12685916	12689417	170	75	139	34	135	40	116	96	99	118	93	79
chr2R	12691110	12693136	51	26	63	5	20	6	16	35	23	46	25	34
chr2R	12694147	12695049	55	28	51	7	34	11	23	36	14	25	20	24
chr2R	12697121	12699028	60	24	75	11	38	17	41	32	43	36	38	30
chr2R	12704534	12706589	555	227	515	94	453	162	367	305	352	330	345	326
chr2R	12715878	12718895	384	152	315	63	321	97	259	323	260	326	225	289
chr2R	12719106	12721328	73	46	105	11	37	13	36	46	35	40	32	38
chr2R	12722362	12724047	24	27	44	4	13	5	19	23	8	32	11	10
